City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
162,portland,45.5234,-122.6762,12.99,86,100,2.57,US,1718023560
163,tura,25.5198,90.2201,27.03,85,7,2.28,IN,1718023658
164,klyuchi,52.2667,79.1667,30.52,38,40,2.34,RU,1718023741
165,manacapuru,-3.2997,-60.6206,27.37,78,23,1.83,BR,1718023741
166,cabo san lucas,22.8909,-109.9124,23.49,75,0,2.25,MX,1718023497
167,coari,-4.085,-63.1414,26.27,82,90,0.29,BR,1718023741
168,barhi,23.9,80.8,40.12,19,0,1.9,IN,1718023741
169,tucurui,-3.7661,-49.6725,28.4,73,20,2.07,BR,1718023742
170,vila franca do campo,37.7167,-25.4333,20.23,99,99,2.53,PT,1718023742
171,fort mcmurray,56.7268,-111.381,8.77,93,100,2.06,CA,1718023742
172,usogorsk,63.4106,48.6872,19.26,40,100,1.29,RU,1718023742
173,tulun,54.5611,100.5792,13.93,76,99,1.49,RU,1718023742
174,copiapo,-27.3667,-70.3333,15.54,52,7,1.85,CL,1718023123
175,hithadhoo,-0.6,73.0833,28.9,69,65,3.74,MV,1718023742
176,kamensk-ural'skiy,56.4185,61.9329,20.51,67,85,5.32,RU,1718023742
177,center,31.5107,-96.4247,26.56,82,0,0.67,US,1718023614
178,lompoc,34.6391,-120.4579,14.45,89,100,5.14,US,1718023681
179,bamboo flat,11.7,92.7167,25.05,88,100,6.17,IN,1718023637
180,kapuskasing,49.4169,-82.4331,3.0,81,100,4.63,CA,1718023731
181,la passe,45.5549,-0.8967,20.13,68,0,6.32,FR,1718023624
182,mildura,-34.2,142.15,13.93,71,98,6.19,AU,1718023537
183,xai-xai,-25.0519,33.6442,22.36,47,43,4.7,MZ,1718023743
184,mahina,-17.5065,-149.489,23.87,88,75,4.63,PF,1718023743
185,solnechnyy,50.7214,136.6319,9.46,96,100,3.84,RU,1718023743
186,bocas del toro,9.3333,-82.25,24.47,79,100,2.11,PA,1718023743
187,port-vila,-17.7338,168.3219,23.78,94,100,1.54,VU,1718023743
188,eirunepe,-6.6603,-69.8736,25.48,86,29,0.32,BR,1718023563
189,concepcion,-36.827,-73.0498,12.89,94,100,6.69,CL,1718023715
190,avarua,-21.2078,-159.775,22.03,64,97,2.06,CK,1718023638
191,port elizabeth,-33.918,25.5701,24.16,41,0,3.6,ZA,1718023639
192,namibe,-15.1961,12.1522,24.73,65,10,6.12,AO,1718023686
193,bay city,43.5945,-83.8889,12.27,73,0,6.17,US,1718023654
194,cabedelo,-6.9811,-34.8339,28.37,69,68,7.39,BR,1718023743
195,alice springs,-23.7,133.8833,8.75,81,0,0.0,AU,1718023638
196,rabigh,22.7986,39.0349,33.42,48,4,9.36,SA,1718023743
197,hereford,52.0568,-2.7148,16.49,72,100,4.66,GB,1718023743
198,campos dos goytacazes,-21.75,-41.3,24.03,73,0,3.6,BR,1718023579
199,miyazaki,31.9111,131.4239,21.97,94,75,2.06,JP,1718023743
200,smithers,54.7804,-127.1743,11.18,71,40,1.03,CA,1718023743
201,mindelo,16.8901,-24.9804,23.31,81,44,10.48,CV,1718023743
202,tindouf,27.6711,-8.1474,30.25,21,0,9.26,DZ,1718023744
203,retreat,38.8245,-85.8533,17.63,72,0,0.89,US,1718023744
204,utrik,11.2278,169.8474,28.28,79,60,8.85,MH,1718023744
205,butzow,53.85,11.9833,17.81,73,100,6.31,DE,1718023744
206,tweed heads,-28.1817,153.547,17.02,63,12,4.12,AU,1718023744
207,mermoz boabab,14.7065,-17.4758,29.31,65,20,4.12,SN,1718023744
208,borgarnes,64.5383,-21.9206,14.89,44,99,1.9,IS,1718023744
209,lianzhou,24.7811,112.3825,24.97,97,100,1.14,CN,1718023744
210,phrai bueng,14.7483,104.3626,27.28,86,100,5.21,TH,1718023744
211,porto franco,-6.3383,-47.3992,32.39,34,35,3.98,BR,1718023744
212,constantia,44.1833,28.65,33.38,59,15,9.43,RO,1718023701
213,tambacounda,13.7539,-13.7586,35.03,41,0,3.09,SN,1718023744
214,dumas,35.8656,-101.9732,18.12,88,100,2.57,US,1718023744
215,antsiranana,-12.2787,49.2917,30.42,45,40,4.12,MG,1718023744
216,tommot,58.9564,126.2925,15.56,66,98,1.08,RU,1718023744
217,sake,-1.5736,29.045,25.34,51,93,1.69,CD,1718023745
218,katsuura,35.1333,140.3,20.17,85,100,3.17,JP,1718023745
219,bardai,11.65,7.2333,34.01,39,4,4.36,NG,1718023745
220,lindley,-27.8791,27.9135,15.46,24,2,1.69,ZA,1718023745
221,sawakin,19.1059,37.3321,36.34,38,0,6.92,SD,1718023745
222,norrtalje,59.758,18.705,13.24,70,100,6.62,SE,1718023745
223,nagqu,31.5,92.0,7.65,66,35,4.89,CN,1718023661
224,tamanrasset,22.785,5.5228,36.95,6,0,6.69,DZ,1718023690
225,nampula,-15.1165,39.2666,24.97,53,40,5.81,MZ,1718023536
226,rongelap,11.1635,166.8941,28.19,82,99,7.87,MH,1718023707
227,farcasele,44.15,24.4333,34.68,27,0,3.95,RO,1718023745
228,chengde,40.9725,117.9361,19.66,67,100,3.22,CN,1718023745
229,severo-yeniseyskiy,60.3725,93.0408,11.99,79,57,0.89,RU,1718023745
230,polyarnyy,69.1989,33.4478,12.51,65,82,3.55,RU,1718023745
231,kulhudhuffushi,6.6221,73.07,28.92,79,100,7.83,MV,1718023746
232,huai'an,33.5886,119.0192,26.7,39,100,5.29,CN,1718023746
233,huilong,31.8111,121.655,21.1,80,74,6.36,CN,1718023746
234,kamina,-8.7386,24.9906,27.55,24,6,3.37,CD,1718023746
235,calabozo,8.9242,-67.4293,24.51,90,100,1.01,VE,1718023746
236,sallisaw,35.4604,-94.7875,22.08,68,0,2.57,US,1718023498
237,valdivia,-39.8142,-73.2459,12.05,91,100,3.43,CL,1718023607
238,rabaul,-4.1967,152.1721,27.36,81,99,2.97,PG,1718023746
239,sao felix do xingu,-6.6447,-51.995,29.9,48,49,2.27,BR,1718023746
240,pacific grove,36.6177,-121.9166,13.16,91,54,3.58,US,1718023746
241,bentiu,9.2333,29.8333,36.42,33,15,1.87,SS,1718023746
242,pisco,-13.7,-76.2167,17.03,88,100,0.0,PE,1718023711
243,eureka,40.8021,-124.1637,13.15,96,81,1.74,US,1718023505
244,senanga,-16.1167,23.2667,27.68,18,3,4.55,ZM,1718023746
245,miedzychod,52.5988,15.897,21.57,43,90,3.77,PL,1718023746
246,ndende,-2.4008,11.3581,33.33,44,12,1.29,GA,1718023746
247,aydarken,39.9443,71.3429,20.68,28,48,2.03,KG,1718023746
248,bokakhat,26.6333,93.6,29.66,75,10,2.44,IN,1718023746
249,troitsko-pechorsk,62.7084,56.1964,18.16,51,90,3.13,RU,1718023746
250,kargasok,59.0556,80.8572,20.54,36,16,4.92,RU,1718023747
251,tiksi,71.6872,128.8694,1.9,86,34,3.45,RU,1718023747
